"","date","unique_users","tweet_count","freq","freq_hate","freq_upd","freq_upd_hate","freq_rt","freq_rt_hate","norm","norm_hate","norm_upd","norm_upd_hate","norm_rt","norm_rt_hate","election","date_num","slope_change","slope_change2","date_num2"
"151",2015-11-14,616648,3894096,4267,864,3265,729,1317,197,0.00876609102600449,0.00177499476130018,0.0423580389460438,0.00945758358090839,0.00270563437573188,0.000404715240713121,0,151,0,0,22801
"152",2015-11-15,581776,3840904,4072,815,3133,702,1247,206,0.008481336685322,0.00169751704286283,0.0430818734358241,0.00965319985698963,0.00259730521772999,0.000429065657459806,0,152,0,0,23104
"153",2015-11-16,617840,3898880,4672,929,3617,794,1531,272,0.00958634274458306,0.0019061884438608,0.0468341318140619,0.0102809788942121,0.00314141497045305,0.000558108995403808,0,153,0,0,23409
"154",2015-11-17,630768,4345824,4911,986,3852,831,1743,280,0.00904040292473878,0.0018150758061072,0.0488547294726429,0.0105395327600639,0.00320859749497449,0.000515437348590279,0,154,0,0,23716
"155",2015-11-18,640624,4053536,4816,1047,3758,863,1578,252,0.00950478791849881,0.00206634405121849,0.0469292439871126,0.0107769924323784,0.00311431796831211,0.000497343553874938,0,155,0,0,24025
"156",2015-11-19,624920,3901840,4798,972,3704,824,1564,246,0.00983741004244152,0.00199290591105735,0.0474172694104845,0.0105485502144274,0.00320669222725688,0.000504377421934267,0,156,0,0,24336
"157",2015-11-20,621976,3891656,4380,897,3438,768,1457,254,0.00900387906844798,0.00184394509689448,0.0442203557693544,0.00987819465702857,0.00299512598235815,0.000522142758763878,0,157,0,0,24649
"158",2015-11-21,579944,3702088,4131,907,3262,770,1582,297,0.00892685425089841,0.00195997501950251,0.0449974480294649,0.0106217152000883,0.00341861133500878,0.000641799978822762,0,158,0,0,24964
"159",2015-11-22,570768,3778040,4166,910,3262,775,1495,264,0.00882150533080645,0.00192692507225969,0.0457208533064222,0.0108625571160261,0.00316566261871235,0.000559020020963251,0,159,0,0,25281
"160",2015-11-23,617352,4215352,4638,1023,3615,851,1646,301,0.00880211189955192,0.00194147487564502,0.0468452357812075,0.0110277443014682,0.00312381979013852,0.000571245295766522,0,160,0,0,25600
"161",2015-11-24,618872,4021224,4953,1024,3759,834,1692,273,0.00985371618193863,0.00203719066632448,0.0485916312258431,0.010780904613555,0.00336613926505959,0.000543118214752523,0,161,0,0,25921
"162",2015-11-25,617664,3923176,5435,1002,4015,840,1951,316,0.0110828573584259,0.00204324251575764,0.0520023831727282,0.0108797015853279,0.00397840932958399,0.000644375883212989,0,162,0,0,26244
"163",2015-11-26,618040,3949192,4614,940,3535,785,1651,266,0.00934672206365251,0.00190418698305881,0.0457575561452333,0.0101611546178241,0.00334448160535117,0.000538844401588983,0,163,0,0,26569
"164",2015-11-27,578808,3534960,3992,842,3124,700,1345,233,0.00903433136442845,0.00190553782786792,0.0431783942170806,0.00967505632264931,0.00304388168465838,0.000527304410799556,0,164,0,0,26896
"165",2015-11-28,563000,3669992,4419,944,3375,774,1500,262,0.00963271854543552,0.00205777015317745,0.0479573712255773,0.0109982238010657,0.00326976189593874,0.0005711184111573,0,165,0,0,27225
"166",2015-11-29,561016,3738528,4396,918,3538,796,1511,244,0.00940691095532787,0.0019644095216085,0.0504513240264092,0.0113508349137993,0.00323335815593731,0.000522130635373067,0,166,0,0,27556
"167",2015-11-30,615264,4058696,9073,1113,5860,954,4912,352,0.0178835763999078,0.00219380806051993,0.0761949342071046,0.0124044312685286,0.00968192739737098,0.000693818901440266,0,167,0,0,27889
"168",2015-12-01,626616,3930896,5775,1095,4381,906,2330,305,0.0117530456160631,0.00222849955837041,0.055932181750865,0.0115668926423839,0.00474192143470598,0.000620723621281255,0,168,0,0,28224
"169",2015-12-02,632032,4167232,6543,1139,4824,964,2946,351,0.0125608557430928,0.00218658332437455,0.0610601994835705,0.012201913827148,0.00565555265461582,0.000673828574938952,0,169,0,0,28561
"170",2015-12-03,625240,4004784,5766,1112,4249,921,2324,331,0.0115182242038522,0.00222134327344496,0.0543663233318406,0.011784274838462,0.00464244763263137,0.00066120919380421,0,170,0,0,28900
"171",2015-12-04,624936,3972904,5463,1107,4119,920,1940,305,0.0110005175055828,0.00222909992287757,0.0527285994085794,0.011777205985893,0.00390646237613594,0.000614160322021373,0,171,0,0,29241
"172",2015-12-05,563168,3479928,4268,901,3404,784,1510,315,0.00981169725350639,0.00207130722244828,0.0483550201716007,0.0111369964202512,0.00347133618856482,0.000724152913508555,0,172,0,0,29584
"173",2015-12-06,568824,3776968,4995,952,3818,817,1867,248,0.0105799148946986,0.00201643222817879,0.0536967497855224,0.0114903731206841,0.00395449471639686,0.000525289067844896,0,173,0,0,29929
"174",2015-12-07,615816,4058136,5590,1145,4172,935,2124,326,0.0110198376791709,0.00225719394322911,0.0541980071969549,0.012146485313795,0.00418714404840055,0.000642659585583135,0,174,0,0,30276
"175",2015-12-08,619976,4022584,5497,1125,4148,885,1930,268,0.0109322763676284,0.00223736782128105,0.0535246525671962,0.0114197968953637,0.00383832879561993,0.000532990734314063,0,175,0,0,30625
"176",2015-12-09,624600,3977024,4896,1050,3767,849,1661,277,0.00984857018715502,0.00211213208670604,0.048248479026577,0.0108741594620557,0.00334119180573213,0.000557200560016736,0,176,0,0,30976
"177",2015-12-10,612032,3904056,4994,984,3874,828,1819,264,0.010233459765946,0.0020163645193614,0.0506378751437833,0.0108229635051762,0.00372740554951056,0.000540975846657937,0,177,0,0,31329
"178",2015-12-11,603600,3804944,4611,923,3506,763,1563,231,0.00969475503450248,0.0019406330290275,0.046467859509609,0.0101126573889993,0.00328625073062836,0.000485683889171562,0,178,0,0,31684
