day,clinton,trump,random,election,date_num,date_num2,slope_change,slope_change2
2016-01-05,0.029193379826557113,0.03146461557359896,0.03440536564254006,0,203,41209,0,0
2016-01-06,0.025029741609476627,0.03074703093260048,0.03507089878179264,0,204,41616,0,0
2016-01-07,0.02328363018025164,0.030439820079204944,0.035362646844310966,0,205,42025,0,0
2016-01-08,0.025028030440627003,0.028448925266397244,0.034504048235806425,0,206,42436,0,0
2016-01-09,0.031556960376514814,0.028829441617956725,0.03492710878328969,0,207,42849,0,0
2016-01-10,0.02949575447343215,0.02819620288048277,0.033397719424444264,0,208,43264,0,0
2016-01-11,0.030226292285576124,0.03031305770263457,0.03332445015875084,0,209,43681,0,0
2016-01-12,0.035128674178534075,0.029623069816216405,0.03302811248742275,0,210,44100,0,0
2016-01-13,0.025825812067431585,0.028688927973888494,0.033396714520848386,0,211,44521,0,0
2016-01-14,0.023691027074589616,0.02814588236603834,0.033385462820117937,0,212,44944,0,0
2016-01-15,0.025113946974542525,0.0269356980204128,0.033510070797747364,0,213,45369,0,0
2016-01-16,0.025839934755650263,0.028283379540985705,0.03441011604864182,0,214,45796,0,0
2016-01-17,0.027600285647821292,0.02724333276252164,0.03249753540611948,0,215,46225,0,0
2016-01-18,0.03703832159324492,0.04227793179634149,0.03366942796700055,0,216,46656,0,0
2016-01-19,0.02706335987708319,0.030546969846289462,0.032835473259866875,0,217,47089,0,0
2016-01-20,0.02387449503930206,0.02813353001472936,0.03325301153023685,0,218,47524,0,0
2016-01-21,0.024196018898386303,0.02780045522341067,0.03283390311600423,0,219,47961,0,0
2016-01-22,0.02214565973231692,0.030807180101464406,0.03292860387938504,0,220,48400,0,0
2016-01-23,0.02197133915306912,0.029391145927876162,0.03331496767368862,0,221,48841,0,0
2016-01-24,0.02427081684358472,0.028646683220057045,0.03258551406921284,0,222,49284,0,0
2016-01-25,0.02398614231087392,0.02822392948823105,0.03276755678954397,0,223,49729,0,0
2016-01-26,0.023770403780716414,0.029646644422668955,0.03294680284669935,0,224,50176,0,0
2016-01-27,0.028423657454710188,0.02960456913676845,0.03280735271477712,0,225,50625,0,0
2016-01-28,0.027786159905263917,0.028275541994485755,0.03255310112378371,0,226,51076,0,0
2016-01-29,0.02123206655984801,0.027963384796248623,0.032825585781528235,0,227,51529,0,0
2016-01-30,0.020436539499723187,0.02677532639697053,0.03340719596202226,0,228,51984,0,0
2016-01-31,0.028476538624144482,0.025363348339385864,0.033174265040921636,0,229,52441,0,0
2016-02-01,0.024427814657546957,0.02485545401982321,0.0323259248530759,0,230,52900,0,0
2016-02-02,0.02206821449180152,0.02012458920341786,0.03170551299992367,0,231,53361,0,0
2016-02-03,0.029151807311545895,0.022537714380508028,0.032431081349329226,0,232,53824,0,0
2016-02-04,0.025884765888170968,0.022313552021766398,0.032436278329060014,0,233,54289,0,0
2016-02-05,0.03444908037811117,0.025970140350786597,0.03261626158984764,0,234,54756,0,0
2016-02-06,0.025990810540318737,0.030349337965475412,0.032659992322980516,0,235,55225,0,0
2016-02-07,0.026799407742496013,0.026402041697734312,0.030779357741664917,0,236,55696,0,0
2016-02-08,0.025635794915049626,0.028149196682751194,0.02699277952867377,0,237,56169,0,0
2016-02-09,0.028369335510497955,0.02681101719340768,0.031924763059550006,0,238,56644,0,0
2016-02-10,0.028503347907063107,0.0241417363928058,0.031665847334345465,0,239,57121,0,0
2016-02-11,0.024862863697083726,0.028109043911579888,0.03222627781358293,0,240,57600,0,0
2016-02-12,0.03281054574365131,0.025926429427528853,0.03201200142065222,0,241,58081,0,0
2016-02-13,0.030390307838591382,0.027012084141472086,0.031835246043536686,0,242,58564,0,0
2016-02-14,0.020056534706500383,0.026047446462703263,0.029649930469422082,0,243,59049,0,0
2016-02-15,0.03143576060895111,0.030032301627478837,0.030936659284741045,0,244,59536,0,0
2016-02-16,0.031149426149110405,0.026705646745248696,0.030290792137041726,0,245,60025,0,0
2016-02-17,0.031748848664150925,0.02266151623154029,0.032248586774324066,0,246,60516,0,0
2016-02-18,0.032126731693178645,0.03284004893753792,0.03208131889207047,0,247,61009,0,0
2016-02-19,0.025240129618480427,0.030910711777633805,0.03198741597303737,0,248,61504,0,0
2016-02-20,0.018470186880386,0.026124719701346624,0.03232699801052389,0,249,62001,0,0
2016-02-21,0.022958699197189358,0.024755692620734418,0.032441509876558604,0,250,62500,0,0
2016-02-22,0.03030635632132079,0.02598171959361077,0.03210701041291827,0,251,63001,0,0
2016-02-23,0.030372457201101714,0.024644237185998823,0.03152463690242905,0,252,63504,0,0
2016-02-24,0.02663014249941744,0.024308522099600247,0.032713012930076266,0,253,64009,0,0
2016-02-25,0.029069154138325663,0.031118905526175012,0.031723014099667934,0,254,64516,0,0
2016-02-26,0.02475798771381062,0.023200600162881863,0.030645046369881895,0,255,65025,0,0
2016-02-27,0.02318712875215148,0.026296043159594343,0.031642195653097574,0,256,65536,0,0
2016-02-28,0.023477503134230627,0.03224163183872359,0.03115287531172358,0,257,66049,0,0
2016-02-29,0.024555080618925737,0.027223980226849957,0.030121670241618426,0,258,66564,0,0
2016-03-01,0.02074957836088663,0.02655263535079776,0.030511335881583317,0,259,67081,0,0
2016-03-02,0.02554155931454881,0.027323801608261374,0.03017743904116088,0,260,67600,0,0
2016-03-03,0.02590694012739141,0.029745819178927286,0.03083388461281395,0,261,68121,0,0
2016-03-04,0.024822547574425504,0.02682133088751053,0.030594887811812643,0,262,68644,0,0
2016-03-05,0.023215226252732576,0.027344676903297102,0.031781572816821216,0,263,69169,0,0
2016-03-06,0.03010369135076405,0.026010742196507352,0.03127921074613235,0,264,69696,0,0
2016-03-07,0.033106214234822705,0.02871857923659805,0.0315840228411564,0,265,70225,0,0
2016-03-08,0.03140796006060809,0.026963018226715336,0.0319580057161778,0,266,70756,0,0
2016-03-09,0.023829393463385192,0.027108639629463974,0.031090358882319983,0,267,71289,0,0
2016-03-10,0.037263074775698124,0.024130920661463474,0.031044664357289007,0,268,71824,0,0
2016-03-11,0.0400477303623331,0.02725102629982322,0.03077894935230784,0,269,72361,0,0
2016-03-12,0.04126404059968127,0.026090553915280416,0.03132907476738197,0,270,72900,0,0
2016-03-13,0.036781127095022084,0.02718084522509073,0.03078795372532077,0,271,73441,0,0
2016-03-14,0.026042158736316514,0.0268992171837478,0.030850653716098707,0,272,73984,0,0
2016-03-15,0.0333297807748079,0.02418683752473293,0.0303311968088384,0,273,74529,0,0
2016-03-16,0.02935850178526578,0.025743615194131108,0.03052363096665282,0,274,75076,0,0
2016-03-17,0.031054664282258858,0.02759341272209114,0.031443745823594986,0,275,75625,0,0
2016-03-18,0.030422767896197536,0.02847818772851295,0.03046702358216938,0,276,76176,0,0
2016-03-19,0.027068915578671644,0.0256417711869178,0.030853852047863707,0,277,76729,0,0
2016-03-20,0.03263127515596701,0.02622797591833133,0.030638740123568008,0,278,77284,0,0
2016-03-21,0.03625069297295217,0.028523805361173094,0.03033309955095865,0,279,77841,0,0
2016-03-22,0.03158919871578026,0.02982142566547997,0.03088875818210128,0,280,78400,0,0
2016-03-23,0.02672738477133133,0.02370075791396055,0.0305911653739812,0,281,78961,0,0
2016-03-24,0.029612082675443307,0.02683105687342586,0.030260176502201412,0,282,79524,0,0
2016-03-25,0.028636945726082344,0.02405248035847309,0.02981368209938154,0,283,80089,0,0
2016-03-26,0.02393155520882043,0.025469296169124415,0.030193340601726664,0,284,80656,0,0
2016-03-27,0.023233174952092223,0.02730202082252653,0.030182687676080813,0,285,81225,0,0
2016-03-28,0.034004921175144635,0.02564505284100596,0.029798872122400007,0,286,81796,0,0
2016-03-29,0.02651728363734285,0.02193796199652507,0.030121919476820094,0,287,82369,0,0
2016-03-30,0.02396682144378539,0.023878385656861758,0.029960536897220436,0,288,82944,0,0
2016-03-31,0.024792960652416617,0.027309990726936587,0.030399115860929412,0,289,83521,0,0
2016-04-01,0.028333412941493868,0.02601381082592425,0.029751715409929963,0,290,84100,0,0
2016-04-02,0.0237337267146809,0.024615940336788985,0.029313362774431174,0,291,84681,0,0
2016-04-03,0.02309706300486253,0.02357347068036872,0.030211447948914862,0,292,85264,0,0
2016-04-04,0.024479928702449458,0.022923616843388783,0.029097347466684933,0,293,85849,0,0
2016-04-05,0.02369389616646779,0.022938432409644157,0.02828279559315655,0,294,86436,0,0
2016-04-06,0.02252645980563502,0.02477445973030861,0.02906868282651645,0,295,87025,0,0
2016-04-07,0.018908693469865002,0.023897045077146392,0.02968134167528545,0,296,87616,0,0
2016-04-08,0.02020777333304035,0.02477826802444261,0.028966175700623074,0,297,88209,0,0
2016-04-09,0.019290774839728967,0.02291452518823689,0.02932675828462958,0,298,88804,0,0
2016-04-10,0.020900366522310285,0.021667914294818087,0.02918503321277905,0,299,89401,0,0
