date,hillary_tpd,hillary_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2016-07-30,4102016,1787848,1560,371,1424,338,544,167,0.0030424064655037914,7.235466658345555e-4,0.006371906336556575,0.0015124328242669398,0.0010609417418167067,3.256935126532905e-4,0,410,0,0,168100
2016-07-31,3038680,1258520,939,255,906,249,455,77,0.0024721260547342925,6.713441362696961e-4,0.005759145663159902,0.0015828115564313638,0.0011978885568733793,2.0271960193241802e-4,0,411,0,0,168921
2016-08-01,3960984,1555240,1701,279,1611,260,1220,96,0.003435509964190716,5.634963433328688e-4,0.00828682389856228,0.0013374141611584064,0.002464034189484229,1.9389121491023443e-4,0,412,0,0,169744
2016-08-02,3811152,1527616,1426,260,1378,245,911,88,0.002993320654752159,5.45766739295625e-4,0.0072164732498219445,0.0012830449537056432,0.0019122826903781324,1.8472105022313465e-4,0,413,0,0,170569
2016-08-03,3013760,1275136,1420,437,1357,420,890,275,0.0037693777872159695,0.0011600127415587174,0.008513601686408351,0.002635013049588436,0.0023624973455086008,7.299851348481631e-4,0,414,0,0,171396
2016-08-04,2719376,1159112,877,245,834,236,383,74,0.0025800036478956937,7.207535846458894e-4,0.005756130555114605,0.0016288331067230777,0.0011267290731403086,2.1769700107671759e-4,0,415,0,0,172225
2016-08-05,3226808,1299880,1301,245,1221,224,849,55,0.0032254785534187344,6.074114109051421e-4,0.007514539803674185,0.001378588792811644,0.0021048664810549623,1.3635766367258294e-4,0,416,0,0,173056
2016-08-06,392080,237376,163,38,159,38,108,18,0.003325851866965925,7.753519689859212e-4,0.005358587220275007,0.0012806686438393098,0.0022036319118547234,3.6727198530912055e-4,0,417,0,0,173889
2016-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,174724
2016-08-08,1523696,663272,338,96,317,87,175,19,0.0017746322100996522,5.040375507975345e-4,0.003823469104681036,0.0010493432558588331,9.188184519746722e-4,9.975743192867868e-5,0,419,0,0,175561
2016-08-09,4455224,1601808,2194,423,2057,398,1667,202,0.003939644785537158,7.595577685880665e-4,0.010273391068093055,0.001987753838162876,0.002993339953277321,3.627202582855542e-4,0,420,0,0,176400
2016-08-10,4072440,1505688,1229,412,1149,379,742,178,0.0024142774356405495,8.093428018583454e-4,0.006104850407255686,0.0020136973928197607,0.0014576028130555637,3.4966752119122685e-4,0,421,0,0,177241
2016-08-11,3523248,1302848,1806,306,1735,281,1265,96,0.004100761570005858,6.948134221604611e-4,0.010653583533919535,0.0017254507049172276,0.002872349604682952,2.179806814621054e-4,0,422,0,0,178084
2016-08-12,3164064,1209304,1080,460,1033,444,738,300,0.0027306653721290088,0.0011630611770179111,0.006833682845669906,0.0029372267023014893,0.0018659546709548227,7.585181589247246e-4,0,423,0,0,178929
