date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2015-07-22,2451584,1315272,939,239,879,227,441,85,0.0030641413877721506,7.799039314989819e-4,0.005346422641096291,0.0013807030028769715,0.0014390695974520963,2.773716911188848e-4,0,36,0,0,1296
2015-07-23,2917616,1571584,979,338,929,329,398,97,0.002684383414404089,9.267840593141798e-4,0.004728986805668676,0.0016747434435575826,0.0010913019396658094,2.6597057323513447e-4,0,37,0,0,1369
2015-07-24,1856992,1080560,607,183,588,180,250,53,0.002614981647740001,7.883717323499509e-4,0.0043532982897756724,0.0013326423336047974,0.001077010563319605,2.283262394237563e-4,0,38,0,0,1444
2015-07-25,1218296,674096,484,103,415,99,179,19,0.0031782095648348187,6.763545148305501e-4,0.004925114523747359,0.0011749068381951533,0.001175412215093869,1.2476442506582965e-4,0,39,0,0,1521
2015-07-26,1287112,665984,421,70,391,69,173,22,0.002616710900061533,4.35082572456787e-4,0.0046968095329617526,8.288487411108976e-4,0.001075275500500345,1.3674023705784733e-4,0,40,0,0,1600
2015-07-27,1379648,769312,853,87,792,85,467,20,0.004946189172890476,5.044765041517836e-4,0.008235930285761825,8.839066594567614e-4,0.002707937096998655,1.1597161014983531e-4,0,41,0,0,1681
2015-07-28,1951064,1046352,1236,155,1153,150,748,34,0.005068003919912417,6.355506533870749e-4,0.008815389085126229,0.0011468415982384512,0.0030670444434421425,1.3941111106555192e-4,0,42,0,0,1764
2015-07-29,1659056,926720,1012,402,755,211,399,98,0.004879883500014466,0.0019384517460531772,0.006517610497237569,0.0018214779005524863,0.0019239856882468103,4.725578883413218e-4,0,43,0,0,1849
2015-07-30,1563008,889792,646,136,627,132,160,50,0.0033064450085988043,6.96093686020801e-4,0.005637272531108394,0.0011867942170754513,8.189337482597658e-4,2.559167963311768e-4,0,44,0,0,1936
2015-07-31,1194600,702840,357,77,330,73,122,24,0.00239075841285786,5.156537753222836e-4,0.00375618917534574,8.309145751522395e-4,8.170098777833584e-4,1.607232546459066e-4,0,45,0,0,2025
